name,price,link
"МП  64080  Адаптер для организации ""глухих"" участков  Ral 9016  L= 6 м.п.",226.20 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64080-adapter-dlya-organizatsii-glukhikh-uchastkov-ral-9016-l-6-m-p/
МП  64067  Штучная закладная под обжим 45 гр.  L= 37 мм.,83.79 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64067-shtuchnaya-zakladnaya-pod-obzhim-45-gr-l-37-mm/
МП  64026  Створка двери Z-образная  ППП  L= 6 м.п.,555.53 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64026-stvorka-dveri-z-obraznaya-ppp-l-6-m-p/
"9GO/42  (СТП-228)  Уплотнитель ""в паз"" цельнорезиновый (400м.п./кор.)  АП",12.92 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/9go-42-stp-228-uplotnitel-v-paz-tselnorezinovyy-400m-p-kor-ap/
"МП  640205  Штульп дверной створки  Ral 8017  L= 6,5 м.п.",242.50 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-640205-shtulp-dvernoy-stvorki-ral-8017-l-6-5-m-p/
9GO/69.2  (СТП-1519)  Уплотнитель резиновый U-образный  (200м./кор.)  АП,22.25 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/9go-69-2-stp-1519-uplotnitel-rezinovyy-u-obraznyy-200m-kor-ap/
"9GO/42.1  (СТП-705)  Уплотнитель ""в паз"" комбинированный  (300м./кор.)  АП",12.30 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/9go-42-1-stp-705-uplotnitel-v-paz-kombinirovannyy-300m-kor-ap/
"9GO/04  (СТП-229)  Уплотнитель клиновой, толщина - 2,2 мм. (500м.п./кор.)  АП",11.12 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/9go-04-stp-229-uplotnitel-klinovoy-tolshchina-2-2-mm-500m-p-kor-ap/
"МП  64029  Стойка-рама с пилоном 100мм.  ППП  L= 5,7 м.п.",784.37 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64029-stoyka-rama-s-pilonom-100mm-ppp-l-5-7-m-p/
"МП  64024-01  Стойка/ригель 100мм  ППП  L= 5,7 м.п. ",806.04 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64024-01-stoyka-rigel-100mm-ppp-l-5-7-m-p-/
"640205  МП  Штульп дверной створки  Ral 9016  L= 6,5 м.п.",243.38 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/640205-mp-shtulp-dvernoy-stvorki-ral-9016-l-6-5-m-p/
 W65.14.04  (УМП-077-01)  Опора верхняя (20шт./кор.),231.66 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/w65-14-04-ump-077-01-opora-verkhnyaya-20sht-kor-/
МП  64089  Усилитель створки (накладная ручка)  БП  L= 6 м.п.,196.77 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64089-usilitel-stvorki-nakladnaya-ruchka-bp-l-6-m-p/
"МП  64024-01  Стойка/ригель 100мм  ППП  L= 4,3 м.п. ",902.48 руб.,https://komplekt-plus.ru/catalog/alyuminievye-sistemy/tatprof/mp-640-balkony-lodzhii-vitrazhi/mp-64024-01-stoyka-rigel-100mm-ppp-l-4-3-m-p-/
